productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSeoDescription,pageSeoTitle
Edredón Baby Voga Ccc Muselina Mint,88517,Edredón Baby Voga,Página 1 / Edredones,1,['88625'],['88742'],['88756'],[],['88500'],EdredonVoga,muselina mint,edredón baby,[],['#e4dadc' '#ac8b8d'],[],[],Activa,[],[],,
Edredón Baby Voga Ccc Sky,88886,Edredón Baby Voga,Página 1 / Edredones,2,['23033'],['87977'],['88756'],[],['87251'],EdredonVoga,sky,edredón baby,[],['#e6ebee' '#9cb1c1'],[],['/videos/bebe/productos/EDREDON VOGA SKY VERTICAL.mp4'],Activa,[],[],,
Edredón Cuna Cute,88839,Edredón,Página 1 / Edredones,3,[],[],[],[],[],JuegoDeCuna,cute,juego de cuna baby,[],['#f6f2f3' '#ba91b4'],[],[],Activa,[],[],,
Edredón Baby Voga Ccc Florencia,88876,Edredón Baby Voga,Página 1 / Edredones,4,['88623'],['88742'],['88756'],[],['88242'],EdredonVoga,florencia,edredón baby,[],['#ede2db' '#ac8b8d'],[],['/videos/bebe/productos/EDREDON FLORENCIA VERTICAL.mp4'],Activa,[],[],,
Edredón Cuna Baby Marinero,88842,Edredón,Página 1 / Edredones,5,[],[],[],[],[],JuegoDeCuna,baby marinero,juego de cuna baby,[],['#f3efe6' '#3d4564'],[],[],Activa,[],[],,
Edredón Baby Voga Ccc Stars,88518,Edredón Baby Voga,Página 1 / Edredones,6,['23033'],['87977'],['88756'],[],['87251'],EdredonVoga,stars,edredón baby,[],['#d5dfe6' '#738fa4'],[],[],Activa,[],[],,
Edredón Cuna Conejita,87895,Edredón,Página 1 / Edredones,7,[],[],[],[],[],JuegoDeCuna,conejita,juego de cuna baby,[],['#f0e8e3' '#bc7a73'],[],[],Activa,[],[],,
Edredón Cuna Elephant,52226,Edredón,Página 1 / Edredones,8,[],[],[],[],[],JuegoDeCuna,elephant,juego de cuna baby,[],['#faf9f7' '#375d86'],[],[],Activa,[],[],,
Edredón Cuna Magic,88833,Edredón,Página 1 / Edredones,9,[],[],[],[],[],JuegoDeCuna,magic,juego de cuna baby,[],['#fcf7f4' '#d78b90'],[],[],Activa,[],[],,
Edredón Cuna Ballenita,88836,Edredón,Página 1 / Edredones,10,[],[],[],[],[],JuegoDeCuna,ballenita,juego de cuna baby,[],['#f3efe6' '#3d4564'],[],[],Activa,[],[],,
Edredón Baby Voga Ccc Parches,86861,Edredón Baby Voga,Página 1 / Edredones,11,['23033'],['87977'],['88756'],[],['87251'],EdredonVoga,parches,edredón baby,[],['#e9eef2' '#aabbc7'],[],[],Activa,[],[],,
Edredón Baby Voga Ccc Iris,87909,Edredón Baby Voga,Página 1 / Edredones,12,['88787'],['87977'],['88756'],[],['88219'],EdredonVoga,iris,edredón baby,[],['#ceb6b2' '#b5918e'],[],[],Activa,[],[],,
Edredón Ccc Baby Jirafa,86911,Edredón,Página 1 / Edredones,13,[],[],[],[],[],JuegoDeCuna,baby jirafa,juego de cuna baby,[],['#f9f7f7' '#ab88a3'],[],[],Activa,[],[],,
Edredón Cuna Baby Rex,86925,Edredón,Página 1 / Edredones,14,[],[],[],[],[],JuegoDeCuna,baby rex,juego de cuna baby,[],['#deebf1' '#264775'],['#' '#'],[],Activa,[],[],,
Cobija Baby Voga Carriola Rosa,88797,Cobija Baby Voga,Página 2 / Cobertores,1,['88623'],['88756'],[],[],[],Cobertor,rosa,cobija baby voga,[],['#dbcec8' '#c3aea3'],[],[],Activa,[],[],,
Cobija Baby Voga Carriola Azul,88798,Cobija Baby Voga,Página 2 / Cobertores,2,['88785'],['88756'],[],[],[],Cobertor,azul,cobija baby voga,[],['#dadbdd' '#c1c3c7'],[],[],Activa,[],[],,
Manta Baby Voga Carriola Stars,88796,Manta Baby Voga,Página 2 / Cobertores,3,['23033'],['88756'],[],[],[],Cobertor,stars,manta baby voga,[],['#edeff2' '#e2e5e9'],[],[],Activa,[],[],,
