SKU,productType,productName,status,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageRelatedProducts,pageIcons,pageSeoTitle,pageSeoDescription
88046,COBERTOR EVEREST,COBERTOR EVEREST FRAZADA DEEP ROSE,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,Deep Rose,,[],[],[],[],Activa,,[],,
88051,COBERTOR EVEREST,COBERTOR EVEREST MAT XL NEBRASKA,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,Nebraska,,[],[],[],[],Activa,,[],,
88054,COBERTOR EVEREST,COBERTOR EVEREST MAT XL ARIA,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,Aria,,[],[],[],[],Activa,,[],,
88190,COBERTOR EVEREST,COBERTOR EVEREST MAT XL PALENA,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,Palena,,[],[],[],[],Activa,,[],,
87173,COBERTOR EVEREST,COBERTOR EVEREST MAT XL BARROW,CONT,Página 1 / Cobertores Everest,-1,[],[],[],[],[],,Barrow,,[],[],[],[],Activa,,[],,
87536,EDREDÓN,EDREDÓN IND DUVET,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,Duvet,,[],[],[],[],Activa,,[],,
88513,EDREDÓN,EDREDÓN IND DUVET BASIC,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,Duvet Basic,,[],[],[],[],Activa,,[],,
88043,COBERTOR AUSTRAL,COBERTOR AUSTRAL MAT XL VERDE,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,Verde,,[],[],[],[],Activa,,[],,
87193,COBERTOR AUSTRAL,COBERTOR AUSTRAL MAT XL ROSETA,CONT,Página 2 / Funda de Duvet,-1,[],[],[],[],[],,Roseta,,[],[],[],[],Activa,,[],,
54384,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL ALASKA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Alaska,,[],[],[],[],Activa,,[],,
54997,COBERTOR INVERNAL,COBERTOR INVERNAL QS/MAT XL ALASKA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Alaska,,[],[],[],[],Activa,,[],,
52279,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL HOJARASCA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Hojarasca,,[],[],[],[],Activa,,[],,
52597,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL ÁRTICO,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Ártico,,[],[],[],[],Activa,,[],,
87179,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL HIMALAYA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Himalaya,,[],[],[],[],Activa,,[],,
87181,COBERTOR INVERNAL,COBERTOR INVERNAL QS/MAT XL HIMALAYA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Himalaya,,[],[],[],[],Activa,,[],,
88061,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL FUN,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Fun,,[],[],[],[],Activa,,[],,
88063,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL LILA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Lila,,[],[],[],[],Activa,,[],,
88066,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL TINTO,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Tinto,,[],[],[],[],Activa,,[],,
88069,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL TURQUESA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Turquesa,,[],[],[],[],Activa,,[],,
88070,COBERTOR INVERNAL,COBERTOR INVERNAL QS/MAT XL TURQUESA,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Turquesa,,[],[],[],[],Activa,,[],,
88072,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL MINTO,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Minto,,[],[],[],[],Activa,,[],,
88077,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL BULLER,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Buller,,[],[],[],[],Activa,,[],,
88083,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL QUEBEC,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Quebec,,[],[],[],[],Activa,,[],,
88258,COBERTOR INVERNAL,COBERTOR INVERNAL MAT/IND XL HARRY POTTER,CONT,Página 3 / Cobertores Invernales,-1,[],[],[],[],[],,Harry Potter,,[],[],[],[],Activa,,[],,
