productName,SKU,productType,productSection,pageTemplate,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageIcons,pageSeoTitle,pageSeoDescription
Edredón Qs/Mat Xl Bernal,88865,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,1,['24908'],['63932'],[],[],[],Bernal,Juego de Edredón,[],['#f5f4f3'],[],[],Activa,[],,
Edredón Qs/Mat Xl Cobá,88816,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,2,['23649'],['63990'],[],[],[],Cobá,Juego de Edredón,[],['#ebe8e6'],[],[],Activa,[],,
Edredón Qs/Mat Xl Girona,88856,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,3,['88860'],['88457'],[],[],[],Girona,Juego de Edredón,[],['#ded8d6'],[],[],Activa,[],,
Edredón Qs/Mat Xl Palmar,88883,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,4,['87779'],['87548' '88549'],['87515'],[],[],Palmar,Juego de Edredón,[],['#dbd4d5'],[],[],Activa,[],,
Edredón Qs/Mat Xl Bliss,88575,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,5,['88416' '88494'],['87548'],['87741' '87515'],['87514'],[],Bliss,Juego de Edredón,[],['#f6f6f6'],[],[],Activa,[],,
Edredón Qs/Mat Xl Mónaco,87848,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,6,['23649'],['63961'],[],[],['87823'],Mónaco,Juego de Edredón,[],['#e7e2e8'],[],[],Activa,[],,
Edredón Qs/Mat Xl Navarra,88874,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,7,['88642'],['88631'],[],[],[],Navarra,Juego de Edredón,[],['#cac0c3'],[],[],Activa,[],,
Edredón Qs/Mat Xl Talpa,88872,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,8,['87493'],['63932'],[],['88516'],['88591'],Talpa,Juego de Edredón,[],['#ccc7c2'],[],[],Activa,[],,
Edredón Qs/Mat Xl Taxco,88807,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,9,['88860'],['63930'],[],[],[],Taxco,Juego de Edredón,[],['#e5e5e1'],[],[],Activa,[],,
Edredón Qs/Mat Xl Provenza,87828,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,10,['24908'],['88549'],[],[],[],Provenza,Juego de Edredón,[],['#d1d5d4'],[],[],Activa,[],,
Edredón Qs/Mat Xl Praga,88863,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,11,['88869' '87493'],['63930'],[],[],[],Praga,Juego de Edredón,[],['#f4f3f2'],[],[],Activa,[],,
Edredón Qs/Mat Xl Cataluña,88803,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,12,['23649' '87497'],['63930'],[],['88794'],[],Cataluña,Juego de Edredón,[],['#eee0db'],[],[],Activa,[],,
Edredón Qs/Mat Xl Tecali,87866,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,13,['87493'],['87835' '87865'],[],[],['87823'],Tecali,Juego de Edredón,[],['#c5c7cd'],[],[],Activa,[],,
Edredón Qs/Mat Xl Duvet,87536,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,14,['88551'],['87548'],[],[''],[],Duvet,Juego de Edredón,[],['#d2cfd2'],[],[],Activa,[],,
Edredón Qs/Mat Xl Duvet Basic,88513,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,15,['88555'],['88414'],[],[''],[],Duvet Basic,Juego de Edredón,[],['#ececed'],[],[],Activa,[],,
Edredón Qs/Mat Xl Castilla,88696,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,16,['88494'],['63932'],['86618'],['88573'],[],Castilla,Juego de Edredón,[],['#ebe5e1'],[],[],Activa,[],,
Edredón Qs/Mat Xl Burdeos,87807,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,17,['87493'],['63930'],[],['87663'],[],Burdeos,Juego de Edredón,[],['#f3f1f0'],[],[],Activa,[],,
Edredón Qs/Mat Xl Blossom,88570,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,18,['23737'],['87548'],['88485'],['87655' '87500'],[],Blossom,Juego de Edredón,[],['#e2dddd'],[],['/videos/chavos/EdredonBlossom.mp4'],Activa,[],,
Edredón Qs/Mat Xl Acuarela,88881,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,19,['87493' '23649'],['63930'],['88541'],[],[],Acuarela,Juego de Edredón,[],['#dcdbd7'],[],[],Activa,[],,
Edredón Qs/Mat Xl Jade,88444,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,20,['87497' '87493'],['87448' '88486'],[],[''],[],Jade,Juego de Edredón,[],['#eceae7'],[],[],Activa,[],,
Edredón Qs/Mat Xl Comala,87875,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,21,['88776'],['87835'],['88572'],[],['87823'],Comala,Juego de Edredón,[],['#f9f8f7'],[],[],Activa,[],,
Edredón Qs/Mat Xl Summer,88605,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,22,['88559'],['88549'],[],['88501' '36629'],[],Summer,Juego de Edredón,[],['#f6f5f4'],[],[],Activa,[],,
Edredón Qs/Mat Xl Sorrento,88597,Edredón,Página 1 / Juegos de Edredón,JuegoDeEdredon,23,['88551'],['88414'],[],['88501'],[],Sorrento,Juego de Edredón,[],['#dee4e8'],[],['/videos/chavos/EdredonSorrento.mp4'],Activa,[],,
