productName,SKU,productType,productSection,productOrder,complSheets,complCurtains,complPillowCovers,complCushions,complDecoration,pageTemplate,pageTitle,pageSubtitle,pageCopys,pageResources,pageKeywords,pageVideos,pageStatus,pageIcons,pageSeoTitle,pageSeoDescription
Edredón Qs/Mat Xl Bernal,88865,Edredón,Página 1 / Juegos de Edredón,1,[],[],[],[],[],JuegoDeEdredon,Bernal,Juego de Edredón,[],['#f5f4f3'],[],[],Activa,[],,
Edredón Qs/Mat Xl Cobá,88816,Edredón,Página 1 / Juegos de Edredón,2,['23649'],[],[],[],[],JuegoDeEdredon,Cobá,Juego de Edredón,[],['#ebe8e6'],[],[],Activa,[],,
Edredón Qs/Mat Xl Girona,88856,Edredón,Página 1 / Juegos de Edredón,3,['88860'],['88457'],[],[],[],JuegoDeEdredon,Girona,Juego de Edredón,[],['#ded8d6'],[],[],Activa,[],,
Edredón Qs/Mat Xl Palmar,88883,Edredón,Página 1 / Juegos de Edredón,4,[],['87548' '88549'],['87515'],[],[],JuegoDeEdredon,Palmar,Juego de Edredón,[],['#dbd4d5'],[],[],Activa,[],,
Edredón Qs/Mat Xl Bliss,88575,Edredón,Página 1 / Juegos de Edredón,5,['88416' '88494'],['87548'],['87741' '87515'],['87514'],[],JuegoDeEdredon,Bliss,Juego de Edredón,[],['#f6f6f6'],[],[],Activa,[],,
Edredón Qs/Mat Xl Mónaco,87848,Edredón,Página 1 / Juegos de Edredón,6,[],[],[],[],['87823'],JuegoDeEdredon,Mónaco,Juego de Edredón,[],['#e7e2e8'],[],[],Activa,[],,
Edredón Qs/Mat Xl Navarra,88874,Edredón,Página 1 / Juegos de Edredón,7,[],[],[],[],[],JuegoDeEdredon,Navarra,Juego de Edredón,[],['#cac0c3'],[],[],Activa,[],,
Edredón Qs/Mat Xl Talpa,88872,Edredón,Página 1 / Juegos de Edredón,8,['87493'],['63932'],[],['88516'],['88591'],JuegoDeEdredon,Talpa,Juego de Edredón,[],['#ccc7c2'],[],[],Activa,[],,
Edredón Qs/Mat Xl Taxco,88807,Edredón,Página 1 / Juegos de Edredón,9,['88860'],[],[],[],[],JuegoDeEdredon,Taxco,Juego de Edredón,[],['#e5e5e1'],[],[],Activa,[],,
Edredón Qs/Mat Xl Provenza,87828,Edredón,Página 1 / Juegos de Edredón,10,['24908'],[],[],[],[],JuegoDeEdredon,Provenza,Juego de Edredón,[],['#d1d5d4'],[],[],Activa,[],,
Edredón Qs/Mat Xl Praga,88863,Edredón,Página 1 / Juegos de Edredón,11,['88869' '87493'],['63930'],[],[],[],JuegoDeEdredon,Praga,Juego de Edredón,[],['#f4f3f2'],[],[],Activa,[],,
Edredón Qs/Mat Xl Cataluña,88803,Edredón,Página 1 / Juegos de Edredón,12,['23649' '87497'],['63930'],[],['88794'],[],JuegoDeEdredon,Cataluña,Juego de Edredón,[],['#eee0db'],[],[],Activa,[],,
Edredón Qs/Mat Xl Tecali,87866,Edredón,Página 1 / Juegos de Edredón,13,['87493'],['87835' '87865'],[],[],['87823'],JuegoDeEdredon,Tecali,Juego de Edredón,[],[],[],[],Activa,[],,
